관할,관할서,해수욕장여부,장소,금지기간,금지구역 지정 세부구역,금지대상,기타사항
서해청,부안서,N,미여도(쌍여도) 주변 해상,연중,전북 고창군 미여도(쌍여도) 서방 끝단으로부터 주변 1.5해리권 해상,수상레저기구일체,"주말, 공휴일 제외"
서해청,군산서,Y,선유도,해수욕장 개장기간,수영경계선 기준 내측해상 및 외측 20m이내,동력수상레저기구,
서해청,군산서,N,신시도 배수갑문,연중,"<신시도 배수갑문>기준점 A(35-48-56.47N 126-28-38.06E), 기준점 B(35-48-43.61N 126-28-55.43E), 기점A(35-48-39.13N 126-28-23.85E), 기점B(35-48-41.83N 126-28-04.10E), 기점C(35-48-11.67N 126-28-19.80E), 기점D(35-48-13.93N 126-29-11.15E)의 각 지점 연결선 내측해역",수상레저기구일체,
서해청,군산서,N,군산시 옥서면 선연리 미공군 활주로 끝단 전면 해상,연중,"<전북 군산시 옥서면 선연리 하제 인근 해상>금지구역 기점 1 : 35°53′13″N, 126°36′39″E 금지구역 기점 2 : 35°52′56″N, 126°37′48″E 금지구역 기점 3 :35°52′03″N, 126°36′39″E 금지구역 기점 4 : 35°51′46″N, 126°37′48″E) 의 지점을 연결한 내측 수역",수상레저기구일체,
서해청,군산서,N,비응항 주변해상,연중,"<전북 군산시 비응도동 비응항 주변 해상>기준점 A : 35°56′05″N, 126°31′31″E /기준점 B : 35°55′41″N, 126°31′05″E /기준점 C : 35°55′41″N, 126°31′48″E)의 지점을 연결한 내측수역",수상레저기구일체,
서해청,군산서,N,직도 주변 해상,연중,전북 군산시 직도 서방 끝단으로부터 주변 3해리권 해상,수상레저기구일체,
서해청,여수서,Y,"만성리, 방죽포, 장등, 발포, 나로도, 율포, 익금, 대전, 덕흥, 남열",해수욕장 개장기간,수영경계선 기준 내측해상 및 외측 10m이내,수상레저기구일체,
서해청,여수서,Y,웅천친수공원,매년7월1일~해수욕장 폐장시까지,"가. Y 수영경계선 기준 내측 및 외측 10m이내 해상나. 웅천해양레저체험장(34-44-44N,127-40-09E)~장도 큰바위(34-44-32N, 127-39-56E)를 직선으로 연결한 선의 웅천친수공원Y 쪽 해상 (가. 구역 제외)",수상레저기구일체,
서해청,여수서,Y,웅천친수공원,매년7월1일~해수욕장 폐장시까지,"가. Y 수영경계선 기준 내측 및 외측 10m이내 해상나. 웅천해양레저체험장(34-44-44N,127-40-09E)~장도 큰바위(34-44-32N, 127-39-56E)를 직선으로 연결한 선의 웅천친수공원Y 쪽 해상 (가. 구역 제외)",동력수상레저기구,
서해청,여수서,N,교통안전특정해역(여수구역),연중,"다음 각 호의 기점을 순차적으로 연결한 선 안의 해역1. 북위 34도50분23초, 동경 127도46분52초2. 북위 34도43분15초, 동경 127도49분13초3. 북위 34도40분18초, 동경 127도54분40초4. 북위 34도35분41초, 동경 127도55분22초5. 북위 34도35분41초, 동경 127도59분52초6. 북위 34도39분47초, 동경 127도59분40초7. 북위 34도43분05초, 동경 127도53분22초8. 북위 34도43분16초, 동경 127도51분34초9. 북위 34도44분01초, 동경 127도50분34초10. 북위 34도44분57초, 동경 127도49분58초11. 북위 34도46분13초, 동경 127도49분55초12. 북위 34도50분53초, 동경 127도48분22초13. 북위 34도50분23초, 동경 127도46분52초",무동력수상레저기구,
남해청,부산서,Y,송정·해운대·광안리·송도·다대포,해수욕장 개장기간,"Y 안전수역 및 레저활동금지구역 부표 이내 해역 (해안선으로부터 100m이내 해상, 다대포는 120m이내 해상)",수상레저기구일체,
남해청,통영서,Y,"남일대, 비진도, 통영공설(도남), 봉암, 대항, 학동, 와현, 구조라, 명사, 송정, 상주, 두곡·월포, 덕포, 사촌, 죽림, 농소, 물안(옆개), 흥남",해수욕장 개장기간,수영경계선 안쪽 및 외측 10m 아내 해상(수영경계선이 설치되지 않은 지역은 해안선으로부터 50m이내 해상),수상레저기구일체,
남해청,통영서,N,"사곡만유원지, 하이면제전마을유원지, 일운면망치마을유원지",7.1~8.31,해안선으로부터 50m이내 해상,수상레저기구일체,
남해청,통영서,N,"상족암유원지, 당항포유원지",연중,무동력 영업구역 내,동력수상레저기구,
남해청,창원서,Y,광암,해수욕장 개장기간,수영경계선 안쪽 및 외측 10m 아내 해상,수상레저기구일체,
남해청,창원서,N,한국석유공사 거제비축기지 부두 시설물 주변 해상,연중,부두 시설물 2m 이내 해상(원유선박 접안시 선박으로부터 20m 이내),수상레저기구일체,
남해청,울산서,Y,"일산, 진하, 일광, 임랑",해수욕장 개장기간,수영경계선 기준 내측해상 및 외측 30m이내,수상레저기구일체,
제주청,제주서,Y,김녕·함덕·삼양·이호·곽지·협재·금능Y,해수욕장 개장기간,수영경계선 외측 10m부터 내측해역,수상레저기구일체,
제주청,서귀포서,Y,"중문, 화순, 표선, 신양",해수욕장 개장기간,수영경계선 기준 내측해상 및 외측 10m이내,수상레저기구일체,
